Repository URL,Star Count,Algorithm
https://github.com/online-ml/river,4561,H2OIsolationForest
https://github.com/h2oai/h2o-3,6579,H2OIsolationForest
https://github.com/h2oai/awesome-h2o,361,H2OIsolationForest
https://github.com/h2oai/sparkling-water,956,H2OIsolationForest
https://github.com/ryfeus/lambda-packs,1103,H2OIsolationForest
https://github.com/ankishb/ml-toolbox,7,H2OIsolationForest
https://github.com/sueszli/vector-database-benchmark,1,H2OIsolationForest
https://github.com/guryaniv/GDS,1,H2OIsolationForest
https://github.com/h2oai/driverlessai-recipes,224,H2OIsolationForest
https://github.com/jpmml/jpmml-h2o,21,H2OIsolationForest
https://github.com/Hyradus/CRISM-MLDAL,3,H2OIsolationForest
