Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg
CastMetal1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
CastMetal1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
CastMetal1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
CostaMadre1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
CostaMadre1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
CostaMadre1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
KnuggetChase3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
KnuggetChase3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
KnuggetChase3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
KungChi3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
KungChi3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
KungChi3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
MeanWhile1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
MeanWhile1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
MeanWhile1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
MegaWatt1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
MegaWatt1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
MegaWatt1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart2,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart2,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart2,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
PieChart3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
PizzaCutter3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea2,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea2,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea2,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_apnea3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_challenger,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_challenger,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_challenger,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_chlamydia,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_chlamydia,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_chlamydia,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_lawsuit,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_lawsuit,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_lawsuit,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_neavote,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_neavote,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
analcatdata_neavote,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
ar1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
ar1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
ar1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
ar3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
ar3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
ar3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
ar4,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
ar4,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
ar4,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
ar6,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
ar6,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
ar6,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-bladder,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-bladder,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-bladder,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-lung,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-lung,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-female-lung,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
backache,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
backache,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
backache,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
breastw,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
breastw,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
breastw,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
cardio,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
cardio,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
cardio,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
datatrieve,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
datatrieve,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
datatrieve,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
fertility,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
fertility,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
fertility,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
flare,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
flare,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
flare,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
glass,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
glass,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
glass,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
ionosphere,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
ionosphere,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
ionosphere,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
kc3,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
kc3,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
kc3,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
letter,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
letter,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
letter,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
lungcancer_GSE31210,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
lungcancer_GSE31210,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
lungcancer_GSE31210,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
lympho,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
lympho,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
lympho,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
mw1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
mw1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
mw1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
optdigits,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
optdigits,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
optdigits,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
pc1,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
pc1,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
pc1,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
thoracic_surgery,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
thoracic_surgery,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
thoracic_surgery,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
visualizing_livestock,Default,-1.0,0,0.0,-1,0,0,0,0,0,0
visualizing_livestock,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
visualizing_livestock,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
annthyroid,Default,-1.0,6,0.0008333333333333334,3,1.6742857142857144,0.00023253968253968255,0.0009000900090009,0.0,0.0002511679739402512,0.0
annthyroid,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
annthyroid,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
appendicitis,Default,-1.0,15,0.14150943396226415,1,3.4106122448979592,0.032175587216018486,0.17647058823529413,0.0,0.04012484993997599,0.0
appendicitis,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
appendicitis,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-male-bladder,Default,-1.0,6,0.01073345259391771,1,2.942857142857143,0.005264502938921544,0.011214953271028037,0.0,0.005500667556742323,0.0
arsenic-male-bladder,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-male-bladder,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-male-lung,Default,-1.0,6,0.01073345259391771,1,3.0293877551020407,0.005419298309663758,0.01098901098901099,0.0,0.005548329221798609,0.0
arsenic-male-lung,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
arsenic-male-lung,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
climate-model-simulation-crashes,Default,-1.0,112,0.2074074074074074,1,5.796734693877551,0.01073469387755102,0.19635627530364372,0.32608695652173914,0.010442039163843675,0.013877551020408163
climate-model-simulation-crashes,Optimal,-1.0,0,0.0,-1,0,0,0,0,0,0
climate-model-simulation-crashes,Fast,-1.0,0,0.0,-1,0,0,0,0,0,0
pima,Default,0.11535089252000001,7,0.009114583333333334,1,1.3681632653061224,0.0017814625850340136,0.008,0.011194029850746268,0.0016097959183673468,0.0021017362168748097
pima,Optimal,0.0051304208,0,0.0,-1,0,0,0,0,0,0
satellite,Default,0.5022336733199999,8,0.0012432012432012432,1,1.6424489795918367,0.0002552368266653981,0.0015912707433507615,0.0004911591355599214,0.0003392236640052702,7.377410689226575e-05
