Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
CastMetal1,Default,43,0.13149847094801223,184,0.5626911314984709,151,0.4617737003058104,23,0.08614232209737828,2,0.5,14,0.05426356589147287,4,0.6666666666666666,18,0.1276595744680851,18,1.0,144,0.5393258426966292,4,1.0,8,0.05673758865248227,16,0.8888888888888888,124,0.48249027237354086,3,0.6
CastMetal1,Mod,262,0.8012232415902141,188,0.5749235474006116,116,0.3547400611620795,0,0.0,34,0.9444444444444444,228,0.8976377952755905,0,0.0,157,0.8870056497175142,2,0.13333333333333333,6,0.23076923076923078,23,0.6388888888888888,9,0.05084745762711865,14,0.9333333333333333,89,0.3463035019455253,4,0.8
CostaMadre1,Default,265,0.8952702702702703,149,0.5033783783783784,140,0.47297297297297297,0,0.0,36,0.9473684210526315,229,0.9956521739130435,0,0.0,126,1.0,0,0.0,1,1.0,22,0.5789473684210527,9,0.07142857142857142,13,0.8125,116,0.4978540772532189,2,0.4
CostaMadre1,Mod,238,0.8040540540540541,175,0.5912162162162162,103,0.34797297297297297,0,0.0,28,0.8235294117647058,210,0.8974358974358975,0,0.0,148,0.891566265060241,1,0.06666666666666667,6,0.25,20,0.5882352941176471,11,0.06626506024096386,10,0.6666666666666666,80,0.3404255319148936,2,0.2857142857142857
KnuggetChase3,Default,173,0.8917525773195877,99,0.5103092783505154,90,0.4639175257731959,0,0.0,32,0.9142857142857143,141,0.9929577464788732,0,0.0,79,1.0,1,0.05555555555555555,1,1.0,18,0.5142857142857142,4,0.05063291139240506,16,0.8888888888888888,68,0.4755244755244755,2,0.5
KnuggetChase3,Mod,148,0.7628865979381443,59,0.30412371134020616,125,0.6443298969072165,0,0.0,27,0.84375,121,0.8705035971223022,0,0.0,35,0.875,4,0.13793103448275862,13,0.7222222222222222,7,0.21875,1,0.025,24,0.8275862068965517,100,0.7194244604316546,0,0.0
KungChi3,Default,111,0.9024390243902439,62,0.5040650406504065,53,0.43089430894308944,0,0,15,0.9375,96,1.0,0,0.0,54,1.0,0,0.0,0,0,8,0.5,2,0.037037037037037035,7,0.875,44,0.4583333333333333,0,0.0
KungChi3,Mod,90,0.7317073170731707,31,0.25203252032520324,85,0.6910569105691057,0,0.0,12,0.9230769230769231,78,0.8478260869565217,0,0.0,16,0.8,2,0.16666666666666666,10,0.7142857142857143,3,0.23076923076923078,1,0.05,12,1.0,72,0.7912087912087912,0,0
MeanWhile1,Default,91,0.35968379446640314,187,0.7391304347826086,116,0.45849802371541504,11,0.07971014492753623,6,1.0,74,0.3681592039800995,0,0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,6,0.05172413793103448,16,0.9411764705882353,93,0.458128078817734,1,0.5
MeanWhile1,Mod,199,0.7865612648221344,179,0.7075098814229249,64,0.25296442687747034,1,0.04,19,0.8636363636363636,179,0.8817733990147784,0,0.0,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,15,0.08571428571428572,9,1.0,40,0.2,0,0
MegaWatt1,Default,91,0.35968379446640314,187,0.7391304347826086,114,0.4505928853754941,11,0.07971014492753623,5,0.8333333333333334,75,0.3712871287128713,0,0.0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,5,0.04310344827586207,14,0.8235294117647058,94,0.4585365853658537,1,0.25
MegaWatt1,Mod,197,0.7786561264822134,179,0.7075098814229249,66,0.2608695652173913,0,0.0,17,0.7727272727272727,180,0.8780487804878049,0,0.0,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,14,0.08,7,0.7777777777777778,43,0.2107843137254902,2,0.5
PieChart1,Default,568,0.8056737588652483,405,0.574468085106383,337,0.47801418439716314,1,0.02,38,0.9047619047619048,529,0.9152249134948097,0,0.0,313,0.9811912225705329,17,0.6071428571428571,44,0.88,31,0.7380952380952381,25,0.07836990595611286,27,0.9642857142857143,283,0.4904679376083189,2,0.6666666666666666
PieChart1,Mod,567,0.8042553191489362,389,0.5517730496453901,290,0.41134751773049644,1,0.017857142857142856,44,0.9565217391304348,521,0.9045138888888888,1,0.3333333333333333,332,0.9222222222222223,3,0.13043478260869565,28,0.5,26,0.5652173913043478,24,0.06666666666666667,18,0.782608695652174,245,0.42168674698795183,3,0.375
