Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,ti_fo_all,to_fi_all,ti_fo_avg,to_fi_avg
CastMetal1,Default,0.07143812,23,0.070336391,1,4.564081633,0.013957436,0.063157895,0.119047619,0.012141783,0.02627794,3,0,3.460408163,1.103673469
CastMetal1,Optimal,0.36947936,7,0.021406728,1,0.963265306,0.002945765,0.01754386,0.047619048,0.002483351,0.006083576,1,0,0.707755102,0.255510204
CastMetal1,Fast,0.03638962,59,0.180428135,1,15.56734694,0.047606566,0.18245614,0.166666667,0.048280702,0.04303207,21,5,13.76,1.807346939
CostaMadre1,Default,0.07255264,16,0.054054054,1,5.286530612,0.017859901,0.050387597,0.078947368,0.016247429,0.028807734,5,1,4.191836735,1.094693878
CostaMadre1,Optimal,0.3619035,11,0.037162162,1,2.751020408,0.009293988,0.031007752,0.078947368,0.00811264,0.017314715,4,0,2.093061224,0.657959184
CostaMadre1,Fast,0.03705086,54,0.182432432,1,14.0955102,0.047619967,0.186046512,0.157894737,0.048479671,0.041783029,12,1,12.5077551,1.587755102
KnuggetChase3,Default,0.0709673,19,0.097938144,1,4.48,0.023092784,0.075949367,0.194444444,0.016383363,0.052539683,1,2,2.588571429,1.891428571
KnuggetChase3,Optimal,0.35186554,8,0.041237113,3,1.751836735,0.009030086,0.037974684,0.055555556,0.005151124,0.026054422,1,0,0.813877551,0.937959184
KnuggetChase3,Fast,0.03664528,48,0.24742268,1,11.92,0.061443299,0.240506329,0.277777778,0.057013692,0.080884354,10,4,9.008163265,2.911836735
KungChi3,Default,0.07000526,14,0.113821138,1,3.297959184,0.026812676,0.102803738,0.1875,0.021560175,0.061938776,3,1,2.306938776,0.991020408
KungChi3,Optimal,0.34405204,5,0.040650407,1,1.086530612,0.008833582,0.037383178,0.0625,0.007858097,0.015357143,1,1,0.840816327,0.245714286
KungChi3,Fast,0.03704484,30,0.243902439,1,7.405714286,0.060209059,0.23364486,0.3125,0.060041961,0.061326531,7,1,6.424489796,0.98122449
MeanWhile1,Default,0.07163022,23,0.090909091,1,5.884081633,0.02325724,0.075221239,0.222222222,0.021495395,0.038004535,6,1,4.857959184,1.026122449
