Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
CastMetal1,Default,10,0.0305810397553516,15,0.0458715596330275,13,0.0397553516819571,5,0.0188679245283018,0,0.0,1,0.003831417624521,4,0.4444444444444444,0,0.0,7,0.5833333333333334,8,0.0300751879699248,0,0.0,3,0.0116279069767441,4,0.3333333333333333,6,0.0229885057471264,0,0.0,327,37
CastMetal1,Mod,8,0.0244648318042813,10,0.0305810397553516,5,0.0152905198776758,4,0.0150375939849624,0,0.0,0,0.0,4,0.4444444444444444,0,0.0,5,0.5,5,0.018796992481203,0,0.0,2,0.0076045627376425,2,0.1818181818181818,1,0.0038167938931297,0,0.0,327,37
CostaMadre1,Default,9,0.0304054054054054,14,0.0472972972972973,13,0.0439189189189189,7,0.0289256198347107,0,0.0,1,0.0042372881355932,1,0.125,0,0.0,4,0.3636363636363636,10,0.0413223140495867,0,0.0,6,0.0253164556962025,2,0.2,5,0.0211864406779661,0,0.0,296,37
CostaMadre1,Mod,9,0.0304054054054054,12,0.0405405405405405,10,0.0337837837837837,7,0.0289256198347107,0,0.0,0,0.0,2,0.2222222222222222,1,0.0042553191489361,3,0.3,8,0.0330578512396694,0,0.0,4,0.0169491525423728,2,0.2,3,0.0127659574468085,1,0.1111111111111111,296,37
KnuggetChase3,Default,6,0.0309278350515463,10,0.0515463917525773,12,0.0618556701030927,0,0.0,1,0.125,3,0.0202702702702702,2,0.2222222222222222,2,0.0138888888888888,4,0.3636363636363636,4,0.0273972602739726,0,0.0,1,0.0070921985815602,4,0.3333333333333333,7,0.0476190476190476,0,0.0,194,39
KnuggetChase3,Mod,5,0.0257731958762886,8,0.0412371134020618,7,0.0360824742268041,1,0.0068493150684931,0,0.0,1,0.0068493150684931,3,0.3,1,0.0068965517241379,5,0.4166666666666667,2,0.0136986301369863,0,0.0,2,0.0137931034482758,4,0.3333333333333333,1,0.0069444444444444,0,0.0,194,39
KungChi3,Default,5,0.040650406504065,9,0.073170731707317,10,0.08130081300813,1,0.0101010101010101,2,0.4,1,0.0101010101010101,1,0.25,1,0.0105263157894736,3,0.375,5,0.0505050505050505,0,0.0,1,0.0105263157894736,4,0.5,5,0.0505050505050505,0,0.0,123,39
KungChi3,Mod,7,0.056910569105691,5,0.040650406504065,5,0.040650406504065,4,0.0404040404040404,0,0.0,1,0.0104166666666666,2,0.2857142857142857,0,0.0,2,0.2857142857142857,3,0.03,0,0.0,3,0.0306122448979591,0,0.0,1,0.0104166666666666,1,0.1428571428571428,123,39
MeanWhile1,Default,12,0.0474308300395256,13,0.0513833992094861,17,0.067193675889328,7,0.0331753554502369,3,0.5,1,0.0048780487804878,1,0.25,0,0.0,3,0.3333333333333333,10,0.0473933649289099,0,0.0,4,0.0199004975124378,4,0.4444444444444444,9,0.0436893203883495,0,0.0,253,37
MeanWhile1,Mod,8,0.0316205533596837,8,0.0316205533596837,10,0.0395256916996047,6,0.0284360189573459,1,0.1666666666666666,0,0.0,1,0.1666666666666666,0,0.0,1,0.1428571428571428,7,0.0331753554502369,0,0.0,4,0.0196078431372549,1,0.1428571428571428,5,0.024390243902439,0,0.0,253,37
