Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
CastMetal1,Default,220,0.672782875,217,0.663608563,3,0.009174312,0,0.0,31,0.911764706,189,0.682310469,0,0.0,188,0.68115942,0,0.0,0,0.0,29,0.852941176,0,0.0,2,0.4,1,0.003610108,0,0.0,327,37
CastMetal1,Mod,1,0.003058104,1,0.003058104,0,0.0,0,0.0,0,0.0,1,0.003623188,0,0.0,1,0.003623188,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,327,37
CostaMadre1,Default,205,0.692567568,200,0.675675676,5,0.016891892,0,0.0,31,0.939393939,174,0.69047619,0,0.0,171,0.686746988,0,0.0,0,0.0,29,0.878787879,0,0.0,2,0.5,3,0.011904762,0,0.0,296,37
CostaMadre1,Mod,1,0.003378378,1,0.003378378,0,0.0,0,0.0,0,0.0,1,0.004016064,0,0.0,1,0.004016064,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,296,37
KnuggetChase3,Default,141,0.726804124,126,0.649484536,15,0.077319588,0,0.0,28,0.933333333,113,0.729032258,0,0.0,105,0.714285714,0,0.0,0,0.0,21,0.7,0,0.0,7,0.777777778,8,0.051612903,0,0.0,194,39
KnuggetChase3,Mod,1,0.005154639,1,0.005154639,0,0.0,0,0.0,0,0.0,1,0.006802721,0,0.0,1,0.006802721,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,194,39
KungChi3,Default,88,0.715447154,84,0.682926829,4,0.032520325,0,0.0,13,0.8125,75,0.721153846,0,0.0,71,0.71,0,0.0,0,0.0,13,0.8125,0,0.0,0,0.0,4,0.038461538,0,0.0,123,39
KungChi3,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,123,39
MeanWhile1,Default,169,0.66798419,167,0.660079051,2,0.007905138,0,0.0,19,0.904761905,150,0.681818182,0,0.0,148,0.678899083,0,0.0,0,0.0,19,0.904761905,0,0.0,0,0.0,2,0.009090909,0,0.0,253,37
MeanWhile1,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,253,37
MegaWatt1,Default,169,0.66798419,167,0.660079051,2,0.007905138,0,0.0,19,0.904761905,150,0.681818182,0,0.0,148,0.678899083,0,0.0,0,0.0,19,0.904761905,0,0.0,0,0.0,2,0.009090909,0,0.0,253,37
MegaWatt1,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,253,37
PieChart1,Default,434,0.615602837,428,0.607092199,6,0.008510638,0,0.0,39,0.906976744,395,0.624012638,0,0.0,390,0.621019108,0,0.0,0,0.0,38,0.88372093,0,0.0,1,0.2,5,0.007898894,0,0.0,705,37
PieChart1,Mod,2,0.002836879,2,0.002836879,0,0.0,0,0.0,0,0.0,2,0.003184713,0,0.0,2,0.003184713,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,705,37
PieChart2,Default,444,0.595973154,420,0.563758389,24,0.032214765,0,0.0,12,0.923076923,432,0.6,0,0.0,409,0.586800574,0,0.0,0,0.0,11,0.846153846,0,0.0,1,0.5,23,0.031944444,0,0.0,745,36
PieChart2,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,745,36
PieChart3,Default,699,0.64902507,686,0.636954503,13,0.012070566,0,0.0,87,1.0,612,0.652452026,0,0.0,602,0.648706897,0,0.0,0,0.0,84,0.965517241,0,0.0,3,1.0,10,0.010660981,0,0.0,1077,37
PieChart3,Mod,1,0.000928505,1,0.000928505,0,0.0,1,0.001076426,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.001076426,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1077,37
PizzaCutter1,Default,402,0.60816944,399,0.603630862,3,0.004538578,0,0.0,38,0.95,364,0.604651163,0,0.0,362,0.603333333,0,0.0,0,0.0,37,0.925,0,0.0,1,0.333333333,2,0.003322259,0,0.0,661,37
PizzaCutter1,Mod,2,0.003025719,2,0.003025719,0,0.0,0,0.0,0,0.0,2,0.003333333,0,0.0,2,0.003333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,661,37
PizzaCutter3,Default,674,0.646212848,663,0.635666347,11,0.0105465,0,0.0,87,1.0,587,0.642935378,0,0.0,579,0.639779006,0,0.0,0,0.0,84,0.965517241,0,0.0,3,1.0,8,0.008762322,0,0.0,1043,37
PizzaCutter3,Mod,1,0.000958773,1,0.000958773,0,0.0,1,0.001103753,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.001103753,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1043,37
analcatdata_apnea1,Default,304,0.64,304,0.64,0,0.0,0,0.0,58,1.0,246,0.594202899,0,0.0,246,0.594202899,0,0.0,0,0.0,58,1.0,0,0.0,0,0.0,0,0.0,0,0.0,475,3
analcatdata_apnea1,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,475,3
analcatdata_apnea2,Default,304,0.64,304,0.64,0,0.0,0,0.0,62,1.0,242,0.588807786,0,0.0,242,0.588807786,0,0.0,0,0.0,62,1.0,0,0.0,0,0.0,0,0.0,0,0.0,475,3
analcatdata_apnea2,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,475,3
analcatdata_apnea3,Default,288,0.64,288,0.64,0,0.0,0,0.0,53,1.0,235,0.594936709,0,0.0,235,0.594936709,0,0.0,0,0.0,53,1.0,0,0.0,0,0.0,0,0.0,0,0.0,450,3
analcatdata_apnea3,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,450,3
analcatdata_challenger,Default,84,0.608695652,72,0.52173913,12,0.086956522,0,0.0,5,1.0,79,0.642276423,0,0.0,68,0.607142857,0,0.0,0,0.0,4,0.8,0,0.0,1,1.0,11,0.089430894,0,0.0,138,2
analcatdata_challenger,Mod,0,0.0,12,0.086956522,12,0.086956522,0,0.0,0,0.0,0,0.0,0,0.0,12,0.107142857,0,0.0,0,0.0,0,0.0,12,0.107142857,0,0.0,0,0.0,0,0.0,138,2
analcatdata_chlamydia,Default,60,0.6,60,0.6,0,0.0,0,0.0,8,1.0,52,0.641975309,0,0.0,52,0.641975309,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,100,3
analcatdata_chlamydia,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,3
analcatdata_lawsuit,Default,189,0.715909091,179,0.678030303,10,0.037878788,0,0.0,19,1.0,170,0.699588477,0,0.0,164,0.691983122,0,0.0,0,0.0,15,0.789473684,0,0.0,4,1.0,6,0.024691358,0,0.0,264,4
analcatdata_lawsuit,Mod,1,0.003787879,1,0.003787879,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,264,4
analcatdata_neavote,Default,49,0.49,49,0.49,0,0.0,0,0.0,4,1.0,45,0.483870968,0,0.0,45,0.483870968,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,100,3
analcatdata_neavote,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,3
annthyroid,Default,5725,0.795138889,5507,0.764861111,218,0.030277778,0,0.0,482,0.956349206,5243,0.791874339,0,0.0,5095,0.787115711,0,0.0,0,0.0,412,0.817460317,0,0.0,70,0.760869565,148,0.022353119,0,0.0,7200,6
annthyroid,Mod,17,0.002361111,17,0.002361111,0,0.0,10,0.00154321,0,0.0,3,0.000463464,4,0.043478261,3,0.000463464,4,0.043478261,10,0.00154321,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7200,6
appendicitis,Default,83,0.783018868,74,0.698113208,9,0.08490566,0,0.0,18,0.947368421,65,0.773809524,0,0.0,56,0.746666667,0,0.0,0,0.0,18,0.947368421,0,0.0,0,0.0,9,0.107142857,0,0.0,106,7
appendicitis,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,106,7
ar1,Default,85,0.702479339,78,0.644628099,7,0.05785124,0,0.0,5,0.555555556,80,0.833333333,0,0.0,73,0.820224719,0,0.0,0,0.0,5,0.555555556,0,0.0,0,0.0,7,0.072916667,0,0.0,121,29
ar1,Mod,1,0.008264463,2,0.016528926,1,0.008264463,1,0.011235955,0,0.0,0,0.0,0,0.0,1,0.011235955,0,0.0,1,0.011235955,0,0.0,1,0.011235955,0,0.0,0,0.0,0,0.0,121,29
ar3,Default,24,0.380952381,21,0.333333333,3,0.047619048,0,0.0,2,0.25,22,0.55,0,0.0,19,0.513513514,0,0.0,0,0.0,2,0.25,0,0.0,0,0.0,3,0.075,0,0.0,63,29
ar3,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63,29
ar4,Default,78,0.728971963,71,0.663551402,7,0.065420561,0,0.0,12,0.6,66,0.785714286,0,0.0,61,0.772151899,0,0.0,0,0.0,10,0.5,0,0.0,2,0.2,5,0.05952381,0,0.0,107,29
ar4,Mod,1,0.009345794,1,0.009345794,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,107,29
ar6,Default,68,0.673267327,47,0.465346535,21,0.207920792,0,0.0,9,0.6,59,0.786666667,0,0.0,42,0.724137931,0,0.0,0,0.0,5,0.333333333,0,0.0,4,0.4,17,0.226666667,0,0.0,101,29
ar6,Mod,2,0.01980198,2,0.01980198,0,0.0,2,0.033333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.033333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,101,29
arsenic-female-bladder,Default,372,0.665474061,360,0.644007156,12,0.021466905,0,0.0,43,0.754385965,329,0.701492537,0,0.0,319,0.694989107,0,0.0,0,0.0,41,0.719298246,0,0.0,2,0.125,10,0.021321962,0,0.0,559,4
arsenic-female-bladder,Mod,1,0.001788909,1,0.001788909,0,0.0,0,0.0,0,0.0,1,0.002178649,0,0.0,1,0.002178649,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,559,4
