Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,Row,Column
CastMetal1,Default,-1.0,325,0.9938837920489296,1,59.38285714285714,0.1815989515072084,0.9929824561403509,1.0,0.1806344432509846,0.1881438289601555,327,37
CostaMadre1,Default,-1.0,294,0.9932432432432432,1,53.926530612244896,0.1821842250413679,0.992248062015504,1.0,0.1847619047619047,0.1646831364124597,296,37
KnuggetChase3,Default,-1.0,191,0.9845360824742267,1,34.287346938775514,0.1767389017462655,0.981012658227848,1.0,0.1728493929217256,0.1938095238095238,194,39
KungChi3,Default,-1.0,120,0.975609756097561,1,21.604897959183678,0.1756495769039323,0.97196261682243,1.0,0.1767232500476826,0.168469387755102,123,39
MeanWhile1,Default,-1.0,251,0.9920948616600792,1,44.97632653061225,0.1777720416229733,0.991150442477876,1.0,0.1787032689181867,0.1699773242630385,253,37
MegaWatt1,Default,-1.0,250,0.9881422924901184,1,45.16244897959184,0.1785077034766475,0.986725663716814,1.0,0.1794437420986093,0.1706727135298563,253,37
PieChart1,Default,-1.0,700,0.9929078014184396,1,125.96408163265306,0.1786724562165291,0.9922360248447204,1.0,0.1788832551654202,0.1764469722315155,705,37
PieChart2,Default,-1.0,738,0.9906040268456376,1,133.03510204081633,0.1785706067661964,0.99039780521262,1.0,0.1783813443072702,0.1871938775510204,745,36
PieChart3,Default,-1.0,1068,0.9916434540389972,1,194.1681632653061,0.1802861311655581,0.9904559915164368,1.0,0.1800515073473716,0.1819372525129454,1077,37
PizzaCutter1,Default,-1.0,659,0.9969742813918304,1,119.00897959183672,0.1800438420451388,0.9967159277504104,1.0,0.1796628799302972,0.1845054945054945,661,37
PizzaCutter3,Default,-1.0,1034,0.9913710450623202,1,187.3338775510204,0.1796106208542861,0.99235807860262,0.984251968503937,0.1797041261919615,0.178936204403021,1043,37
analcatdata_apnea1,Default,-1.0,466,0.9810526315789474,1,83.64571428571429,0.1760962406015037,0.9830917874396136,0.9672131147540984,0.1748634526274277,0.1844630311140849,475,3
analcatdata_apnea1,Optimal,0.0322561941399999,322,0.6778947368421052,1,94.34938775510204,0.1986302900107411,0.6690821256038647,0.7377049180327869,0.1902573203194321,0.2554566744730679,475,3
analcatdata_apnea1,Fast,-1.0,322,0.6778947368421052,1,94.34938775510204,0.1986302900107411,0.6690821256038647,0.7377049180327869,0.1902573203194321,0.2554566744730679,475,3
analcatdata_apnea2,Default,-1.0,467,0.983157894736842,1,80.99918367346939,0.1705245972073039,0.9805352798053528,1.0,0.1677143850240826,0.1885714285714285,475,3
analcatdata_apnea2,Optimal,0.0128557874,335,0.7052631578947368,1,94.13551020408164,0.1981800214822771,0.6982968369829684,0.75,0.1924147177119022,0.235204081632653,475,3
analcatdata_apnea2,Fast,-1.0,335,0.7052631578947368,1,94.13551020408164,0.1981800214822771,0.6982968369829684,0.75,0.1924147177119022,0.235204081632653,475,3
analcatdata_apnea3,Default,-1.0,448,0.9955555555555556,1,80.25795918367346,0.1783510204081632,0.9949367088607596,1.0,0.1787755102040816,0.1753024118738404,450,3
analcatdata_apnea3,Optimal,0.01446049992,211,0.4688888888888889,1,56.888163265306126,0.1264181405895691,0.4658227848101265,0.4909090909090909,0.1227424438129682,0.1528163265306122,450,3
analcatdata_apnea3,Fast,-1.0,211,0.4688888888888889,1,56.888163265306126,0.1264181405895691,0.4658227848101265,0.4909090909090909,0.1227424438129682,0.1528163265306122,450,3
analcatdata_challenger,Default,-1.0,90,0.6521739130434783,1,19.400816326530613,0.1405856255545696,0.6511627906976745,0.6666666666666666,0.1460591678531878,0.0621315192743764,138,2
analcatdata_challenger,Optimal,0.0110067093,90,0.6521739130434783,1,24.004897959183676,0.1739485359361135,0.6511627906976745,0.6666666666666666,0.1775352001265622,0.1225396825396825,138,2
analcatdata_challenger,Fast,-1.0,90,0.6521739130434783,1,24.004897959183676,0.1739485359361135,0.6511627906976745,0.6666666666666666,0.1775352001265622,0.1225396825396825,138,2
analcatdata_chlamydia,Default,-1.0,96,0.96,1,17.25387755102041,0.172538775510204,0.9753086419753086,0.8947368421052632,0.1806399596875787,0.1380021482277121,100,3
analcatdata_chlamydia,Optimal,0.00904519752,56,0.56,1,18.11183673469388,0.1811183673469387,0.5925925925925926,0.4210526315789473,0.1930864197530864,0.1300966702470462,100,3
analcatdata_chlamydia,Fast,-1.0,56,0.56,1,18.11183673469388,0.1811183673469387,0.5925925925925926,0.4210526315789473,0.1930864197530864,0.1300966702470462,100,3
analcatdata_lawsuit,Default,-1.0,250,0.946969696969697,1,46.43265306122449,0.1758812615955473,0.9428571428571428,1.0,0.1762932111620158,0.1705692803437164,264,4
