Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,Row,Column
CastMetal1,Default,51,0.1559633027522936,184,0.5626911314984709,161,0.4923547400611621,327,37
CastMetal1,Mod,271,0.8287461773700305,152,0.4648318042813456,179,0.5474006116207951,327,37
CostaMadre1,Default,265,0.8952702702702703,149,0.5033783783783784,158,0.5337837837837838,296,37
CostaMadre1,Mod,242,0.8175675675675675,175,0.5912162162162162,109,0.3682432432432432,296,37
KnuggetChase3,Default,173,0.8917525773195877,99,0.5103092783505154,96,0.4948453608247423,194,39
KnuggetChase3,Mod,149,0.7680412371134021,126,0.6494845360824743,69,0.3556701030927835,194,39
KungChi3,Default,111,0.902439024390244,62,0.5040650406504065,57,0.4634146341463415,123,39
KungChi3,Mod,91,0.7398373983739838,41,0.3333333333333333,80,0.6504065040650406,123,39
MeanWhile1,Default,99,0.391304347826087,187,0.7391304347826086,130,0.5138339920948617,253,37
MeanWhile1,Mod,205,0.8102766798418972,179,0.7075098814229249,68,0.2687747035573122,253,37
MegaWatt1,Default,93,0.3675889328063241,187,0.7391304347826086,134,0.5296442687747036,253,37
MegaWatt1,Mod,199,0.7865612648221344,179,0.7075098814229249,82,0.3241106719367589,253,37
PieChart1,Default,588,0.8340425531914893,405,0.574468085106383,355,0.5035460992907801,705,37
PieChart1,Mod,596,0.8453900709219858,298,0.4226950354609929,398,0.5645390070921986,705,37
PieChart2,Default,362,0.4859060402684563,508,0.6818791946308724,374,0.5020134228187919,745,36
PieChart2,Mod,646,0.8671140939597315,384,0.5154362416107383,374,0.5020134228187919,745,36
PieChart3,Default,108,0.1002785515320334,539,0.500464252553389,533,0.4948932219127205,1077,37
PieChart3,Mod,904,0.8393686165273909,515,0.4781801299907149,553,0.5134633240482822,1077,37
PizzaCutter1,Default,462,0.6989409984871406,416,0.6293494704992436,322,0.4871406959152798,661,37
PizzaCutter1,Mod,549,0.8305597579425114,367,0.5552193645990923,290,0.4387291981845688,661,37
PizzaCutter3,Default,104,0.099712368168744,522,0.5004793863854267,530,0.5081495685522531,1043,37
PizzaCutter3,Mod,878,0.8418024928092043,571,0.5474592521572388,465,0.4458293384467881,1043,37
analcatdata_apnea1,Default,270,0.5684210526315789,412,0.8673684210526316,216,0.4547368421052631,475,3
analcatdata_apnea1,Mod,447,0.9410526315789474,384,0.8084210526315789,93,0.1957894736842105,475,3
analcatdata_apnea2,Default,232,0.4884210526315789,412,0.8673684210526316,218,0.4589473684210526,475,3
analcatdata_apnea2,Mod,455,0.9578947368421052,390,0.8210526315789474,91,0.191578947368421,475,3
analcatdata_apnea3,Default,262,0.5822222222222222,402,0.8933333333333333,180,0.4,450,3
analcatdata_apnea3,Mod,407,0.9044444444444444,376,0.8355555555555556,97,0.2155555555555555,450,3
analcatdata_challenger,Default,72,0.5217391304347826,84,0.6086956521739131,84,0.6086956521739131,138,2
analcatdata_challenger,Mod,90,0.6521739130434783,84,0.6086956521739131,66,0.4782608695652174,138,2
analcatdata_chlamydia,Default,58,0.58,94,0.94,42,0.42,100,3
analcatdata_chlamydia,Mod,86,0.86,70,0.7,30,0.3,100,3
analcatdata_lawsuit,Default,130,0.4924242424242424,246,0.9318181818181818,134,0.5075757575757576,264,4
analcatdata_lawsuit,Mod,160,0.6060606060606061,148,0.5606060606060606,120,0.4545454545454545,264,4
analcatdata_neavote,Default,48,0.48,89,0.89,49,0.49,100,3
analcatdata_neavote,Mod,52,0.52,51,0.51,49,0.49,100,3
annthyroid,Default,3491,0.4848611111111111,3567,0.4954166666666666,2880,0.4,7200,6
annthyroid,Mod,6339,0.8804166666666666,6304,0.8755555555555555,129,0.0179166666666666,7200,6
appendicitis,Default,47,0.4433962264150943,51,0.4811320754716981,40,0.3773584905660377,106,7
appendicitis,Mod,93,0.8773584905660378,90,0.8490566037735849,5,0.0471698113207547,106,7
ar1,Default,16,0.1322314049586777,66,0.5454545454545454,62,0.512396694214876,121,29
ar1,Mod,85,0.7024793388429752,62,0.512396694214876,55,0.4545454545454545,121,29
ar3,Default,13,0.2063492063492063,42,0.6666666666666666,33,0.5238095238095238,63,29
ar3,Mod,52,0.8253968253968254,41,0.6507936507936508,23,0.365079365079365,63,29
