Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
CastMetal1,Default,55,0.1681957186544342,184,0.5626911314984709,173,0.5290519877675841,30,0.1123595505617977,4,1.0,18,0.0705882352941176,3,1.0,18,0.1276595744680851,18,1.0,144,0.5393258426966292,4,1.0,18,0.1276595744680851,18,1.0,133,0.51953125,4,1.0,327,37
CastMetal1,Mod,272,0.8318042813455657,226,0.691131498470948,110,0.3363914373088685,4,0.1481481481481481,32,0.8888888888888888,234,0.9105058365758756,2,0.3333333333333333,189,0.8957345971563981,3,0.3,5,0.1851851851851851,29,0.8055555555555556,26,0.1232227488151658,9,0.9,71,0.27734375,4,0.8,327,37
CostaMadre1,Default,267,0.902027027027027,149,0.5033783783783784,160,0.5405405405405406,1,1.0,32,0.8421052631578947,234,1.0,0,0.0,126,1.0,0,0.0,1,1.0,22,0.5789473684210527,19,0.1507936507936507,16,1.0,123,0.5347826086956522,2,1.0,296,37
CostaMadre1,Mod,252,0.8513513513513513,192,0.6486486486486487,112,0.3783783783783784,6,0.24,30,0.9090909090909092,214,0.9184549356223176,2,0.4,160,0.903954802259887,1,0.0909090909090909,8,0.32,23,0.696969696969697,24,0.135593220338983,11,1.0,76,0.3318777292576419,1,1.0,296,37
KnuggetChase3,Default,175,0.9020618556701032,99,0.5103092783505154,110,0.5670103092783505,1,1.0,30,0.8571428571428571,144,1.0,0,0.0,79,1.0,1,0.0555555555555555,1,1.0,18,0.5142857142857142,15,0.189873417721519,18,1.0,76,0.5428571428571428,1,1.0,194,39
KnuggetChase3,Mod,157,0.8092783505154639,90,0.4639175257731959,115,0.5927835051546392,4,0.2222222222222222,23,0.8214285714285714,127,0.900709219858156,3,0.375,62,0.9117647058823528,3,0.1666666666666666,12,0.6666666666666666,13,0.4642857142857143,12,0.1764705882352941,17,0.9444444444444444,82,0.5942028985507246,4,0.8,194,39
KungChi3,Default,111,0.902439024390244,62,0.5040650406504065,67,0.5447154471544715,0,0.0,15,0.9375,96,1.0,0,0.0,54,1.0,0,0.0,0,0.0,8,0.5,6,0.1111111111111111,8,1.0,50,0.5102040816326531,3,1.0,123,39
KungChi3,Mod,98,0.7967479674796748,52,0.4227642276422764,80,0.6504065040650406,4,0.3076923076923077,10,1.0,83,0.9021739130434784,1,1.0,38,0.8837209302325582,4,0.3333333333333333,8,0.6153846153846154,2,0.2,10,0.2325581395348837,11,0.9166666666666666,59,0.6413043478260869,0,0.0,123,39
MeanWhile1,Default,113,0.4466403162055335,187,0.7391304347826086,144,0.5691699604743083,20,0.144927536231884,6,1.0,85,0.4187192118226601,2,1.0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,18,0.1551724137931034,17,1.0,106,0.5196078431372549,3,1.0,253,37
MeanWhile1,Mod,209,0.8260869565217391,162,0.6403162055335968,107,0.4229249011857707,4,0.1666666666666666,21,0.9130434782608696,182,0.900990099009901,2,0.5,134,0.9241379310344828,0,0.0,13,0.5416666666666666,15,0.6521739130434783,19,0.1310344827586207,8,1.0,76,0.3762376237623762,4,1.0,253,37
MegaWatt1,Default,111,0.4387351778656126,187,0.7391304347826086,136,0.5375494071146245,18,0.1304347826086956,5,0.8333333333333334,85,0.4146341463414634,3,0.75,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,16,0.1379310344827586,17,1.0,102,0.504950495049505,1,1.0,253,37
MegaWatt1,Mod,207,0.8181818181818182,179,0.7075098814229249,82,0.3241106719367589,3,0.12,21,0.9545454545454546,181,0.8916256157635468,2,0.6666666666666666,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,23,0.1314285714285714,9,1.0,49,0.2437810945273631,1,1.0,253,37
PieChart1,Default,588,0.8340425531914893,405,0.574468085106383,367,0.5205673758865248,9,0.18,40,0.9523809523809524,537,0.9290657439446368,2,0.5,313,0.9811912225705328,17,0.6071428571428571,44,0.88,31,0.7380952380952381,40,0.1253918495297805,27,0.9642857142857144,298,0.5164644714038128,2,0.6666666666666666,705,37
PieChart1,Mod,604,0.8567375886524823,363,0.5148936170212766,365,0.5177304964539007,11,0.22,48,0.9411764705882352,545,0.9332191780821918,0,0.0,306,0.9272727272727272,5,0.1666666666666666,26,0.52,26,0.5098039215686274,40,0.1212121212121212,26,0.8666666666666667,297,0.5059625212947189,2,0.3333333333333333,705,37
PieChart2,Default,390,0.5234899328859061,508,0.6818791946308724,392,0.5261744966442953,43,0.1184573002754821,6,1.0,338,0.513677811550152,3,1.0,248,0.6775956284153005,9,1.0,245,0.6749311294765841,6,1.0,46,0.1256830601092896,9,1.0,336,0.5121951219512195,1,1.0,745,36
PieChart2,Mod,645,0.8657718120805369,468,0.6281879194630873,281,0.3771812080536912,9,0.1578947368421052,13,1.0,622,0.928358208955224,1,1.0,441,0.9111570247933884,1,0.5,14,0.2456140350877192,12,0.9230769230769232,44,0.0909090909090909,2,1.0,232,0.3452380952380952,3,1.0,745,36
PieChart3,Default,108,0.1002785515320334,539,0.500464252553389,567,0.5264623955431755,89,0.0943796394485683,0,0.0,0,0.0,19,1.0,0,0.0,41,1.0,498,0.528101802757158,0,0.0,53,0.1191011235955056,37,0.902439024390244,462,0.5409836065573771,15,0.7894736842105263,1077,37
PieChart3,Mod,912,0.8467966573816156,616,0.5719591457753017,474,0.4401114206128134,7,0.0897435897435897,109,0.9478260869565216,790,0.9175377468060396,6,0.5,509,0.9171171171171172,7,0.1296296296296296,32,0.4102564102564102,68,0.591304347826087,61,0.1099099099099099,51,0.9444444444444444,360,0.4215456674473068,2,0.4,1077,37
PizzaCutter1,Default,470,0.7110438729198184,416,0.6293494704992436,348,0.5264750378214826,23,0.1503267973856209,27,0.9,418,0.7627737226277372,2,0.4,263,0.8651315789473685,18,0.72,112,0.7320261437908496,23,0.7666666666666667,40,0.131578947368421,24,0.96,282,0.5164835164835165,2,0.6666666666666666,661,37
PizzaCutter1,Mod,554,0.8381240544629349,535,0.8093797276853253,139,0.2102874432677761,10,0.1851851851851851,35,0.8536585365853658,507,0.9201451905626136,2,0.25,488,0.9138576779026216,1,0.25,8,0.1481481481481481,38,0.926829268292683,59,0.1104868913857678,3,0.75,73,0.1332116788321168,4,0.8,661,37
PizzaCutter3,Default,104,0.099712368168744,522,0.5004793863854267,544,0.5215723873441994,92,0.1004366812227074,0,0.0,0,0.0,12,1.0,0,0.0,38,1.0,484,0.5283842794759825,0,0.0,52,0.1203703703703703,32,0.8421052631578947,449,0.5416164053075995,11,0.6470588235294118,1043,37
PizzaCutter3,Mod,905,0.8676893576222435,393,0.37679769894535,670,0.6423777564717162,7,0.1029411764705882,106,0.9464285714285714,785,0.9278959810874704,7,0.5384615384615384,288,0.9320388349514565,9,0.125,47,0.6911764705882353,49,0.4375,33,0.1067961165048543,71,0.9861111111111112,562,0.6706443914081146,4,0.8,1043,37
analcatdata_apnea1,Default,276,0.5810526315789474,412,0.8673684210526316,276,0.5810526315789474,41,0.1971153846153846,23,1.0,206,0.5522788203753352,6,1.0,185,0.8486238532110092,31,0.9393939393939394,175,0.8413461538461539,21,0.9130434782608696,41,0.1880733944954128,33,1.0,196,0.5254691689008043,6,1.0,475,3
analcatdata_apnea1,Mod,455,0.9578947368421052,392,0.8252631578947368,103,0.2168421052631579,6,0.5,54,0.9473684210526316,393,0.9849624060150376,2,0.4,332,0.9793510324483776,3,0.375,5,0.4166666666666667,52,0.912280701754386,16,0.0471976401179941,8,1.0,75,0.1884422110552764,4,1.0,475,3
analcatdata_apnea2,Default,276,0.5810526315789474,412,0.8673684210526316,264,0.5557894736842105,42,0.2028985507246377,25,1.0,204,0.5528455284552846,5,1.0,183,0.8472222222222222,32,0.9411764705882352,174,0.8405797101449275,23,0.92,34,0.1574074074074074,32,0.9411764705882352,191,0.5120643431635389,7,0.7777777777777778,475,3
analcatdata_apnea2,Mod,447,0.9410526315789474,390,0.8210526315789474,101,0.2126315789473684,8,0.4210526315789473,60,1.0,378,0.9717223650385604,1,1.0,330,0.9649122807017544,1,0.1111111111111111,7,0.3684210526315789,52,0.8666666666666667,19,0.0555555555555555,9,1.0,69,0.1760204081632653,4,1.0,475,3
analcatdata_apnea3,Default,266,0.5911111111111111,402,0.8933333333333333,266,0.5911111111111111,39,0.1969696969696969,24,1.0,197,0.5533707865168539,6,1.0,179,0.8817733990147784,27,0.9310344827586208,174,0.8787878787878788,22,0.9166666666666666,40,0.1970443349753694,29,1.0,192,0.5408450704225352,5,1.0,450,3
analcatdata_apnea3,Mod,423,0.94,373,0.8288888888888889,96,0.2133333333333333,4,0.25,48,0.96,369,0.968503937007874,2,0.5,317,0.9753846153846154,3,0.375,8,0.5,45,0.9,18,0.0553846153846153,8,1.0,70,0.1856763925729443,0,0.0,450,3
analcatdata_challenger,Default,84,0.6086956521739131,84,0.6086956521739131,84,0.6086956521739131,11,0.180327868852459,4,1.0,68,0.576271186440678,1,1.0,41,0.640625,4,0.5714285714285714,38,0.6229508196721312,1,0.25,12,0.1875,7,1.0,65,0.5555555555555556,0,0.0,138,2
analcatdata_challenger,Mod,114,0.8260869565217391,84,0.6086956521739131,102,0.7391304347826086,34,0.7555555555555555,6,1.0,72,0.8674698795180723,2,1.0,49,0.7538461538461538,1,0.5,29,0.6444444444444445,5,0.8333333333333334,39,0.6,2,1.0,58,0.6904761904761905,3,1.0,138,2
analcatdata_chlamydia,Default,58,0.58,94,0.94,62,0.62,6,0.1363636363636363,11,1.0,37,0.4933333333333333,4,1.0,34,0.9444444444444444,7,1.0,42,0.9545454545454546,11,1.0,8,0.2222222222222222,7,1.0,45,0.6164383561643836,2,1.0,100,3
analcatdata_chlamydia,Mod,92,0.92,71,0.71,29,0.29,2,0.2222222222222222,18,1.0,72,0.9113924050632912,0,0.0,56,0.918032786885246,0,0.0,4,0.4444444444444444,11,0.6111111111111112,1,0.0163934426229508,7,1.0,20,0.25,1,1.0,100,3
analcatdata_lawsuit,Default,144,0.5454545454545454,246,0.9318181818181818,142,0.5378787878787878,17,0.1504424778761062,0,0.0,125,0.5656108597285068,2,1.0,123,0.9318181818181818,19,1.0,104,0.9203539823008848,0,0.0,18,0.1363636363636363,19,1.0,105,0.4794520547945205,0,0.0,264,4
analcatdata_lawsuit,Mod,176,0.6666666666666666,143,0.5416666666666666,137,0.5189393939393939,32,0.4923076923076923,2,1.0,136,0.8047337278106509,6,1.0,104,0.7482014388489209,7,1.0,30,0.4615384615384615,2,1.0,48,0.3453237410071942,6,0.8571428571428571,78,0.4615384615384615,5,0.8333333333333334,264,4
analcatdata_neavote,Default,58,0.58,89,0.89,57,0.57,8,0.1702127659574468,4,1.0,45,0.5357142857142857,1,1.0,41,0.8723404255319149,3,1.0,41,0.8723404255319149,4,1.0,9,0.1914893617021276,3,1.0,45,0.5421686746987951,0,0.0,100,3
analcatdata_neavote,Mod,67,0.67,52,0.52,63,0.63,23,0.6052631578947368,3,0.75,40,0.7272727272727273,1,0.5,34,0.5964912280701754,2,0.4,15,0.3947368421052631,1,0.25,30,0.5263157894736842,4,0.8,28,0.509090909090909,1,0.5,100,3
annthyroid,Default,3513,0.4879166666666666,3567,0.4954166666666666,2880,0.4,346,0.1000289100896212,207,0.8846153846153846,2910,0.4831479329237921,50,0.6493506493506493,1614,0.4776561112755253,169,0.5399361022364217,1694,0.4897369181844463,90,0.3846153846153846,0,0.0,235,0.7507987220447284,2645,0.4390770252324037,0,0.0,7200,6
annthyroid,Mod,6393,0.8879166666666667,6327,0.87875,126,0.0175,162,0.3375,375,0.946969696969697,5803,0.9480477046234276,53,0.7162162162162162,5770,0.944044502617801,44,0.676923076923077,138,0.2875,375,0.946969696969697,50,0.0081806282722513,3,0.0461538461538461,60,0.0098007187193727,13,0.1733333333333333,7200,6
appendicitis,Default,51,0.4811320754716981,51,0.4811320754716981,40,0.3773584905660377,6,0.1224489795918367,10,1.0,33,0.4342105263157895,2,1.0,22,0.4489795918367347,6,0.4,22,0.4489795918367347,1,0.1,0,0.0,13,0.8666666666666667,27,0.3552631578947368,0,0.0,106,7
appendicitis,Mod,94,0.8867924528301887,86,0.8113207547169812,10,0.0943396226415094,15,0.7894736842105263,11,0.7333333333333333,64,0.9411764705882352,4,0.5,62,0.8857142857142857,4,0.4,11,0.5789473684210527,9,0.6,5,0.0714285714285714,3,0.3,2,0.0298507462686567,0,0.0,106,7
ar1,Default,18,0.1487603305785124,66,0.5454545454545454,68,0.5619834710743802,11,0.1018518518518518,2,1.0,4,0.0396039603960396,1,1.0,4,0.0714285714285714,4,1.0,56,0.5185185185185185,2,1.0,9,0.1607142857142857,4,1.0,54,0.5346534653465347,1,1.0,121,29
ar1,Mod,93,0.768595041322314,52,0.4297520661157025,73,0.6033057851239669,7,0.3181818181818182,5,0.8333333333333334,80,0.8421052631578947,1,0.5,39,0.7358490566037735,1,0.3333333333333333,8,0.3636363636363636,4,0.6666666666666666,12,0.2264150943396226,3,1.0,55,0.5729166666666666,3,1.0,121,29
ar3,Default,17,0.2698412698412698,42,0.6666666666666666,37,0.5873015873015873,6,0.1333333333333333,1,1.0,10,0.2040816326530612,0,0.0,10,0.3225806451612903,7,1.0,24,0.5333333333333333,1,1.0,5,0.1612903225806451,7,1.0,24,0.48,1,1.0,63,29
